turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
36,9 5,Miss,1 7,Miss,XM~M~~~MS~XM~~SSXM~~XM~M~MMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~~MMMMM
37,9 4,Miss,1 5,Hit,XM~M~~~MS~XM~~SXXM~~XM~M~MMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~~~MMMMMM
38,9 2,Hit,2 4,Miss,XM~M~~~MS~XM~~SXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~X~MMMMMM
39,9 3,Miss,1 4,Ship destroyed,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~~SSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~~M~~~MXMM~XMMMMMMM
40,8 2,Hit,6 6,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MSSS~~~~SM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~~~M~~~MMM~~XM~~~MXMM~XMMMMMMM
41,7 2,Ship destroyed,7 3,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MSSS~~~MSM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~MXM~~~MMM~MXM~~~MXMMMXMMMMMMM
42,7 6,Hit,3 2,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MSSS~~~MSM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~MXM~~XMMM~MXM~~~MXMMMXMMMMMMM
43,7 5,Miss,6 7,Hit,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXSS~~~MSM~~~~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~MXM~MXMMM~MXM~~~MXMMMXMMMMMMM
44,8 7,Miss,7 8,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXSS~~~MSM~~M~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~~M~MM~MXM~MXMMM~MXM~~~MXMMMXMMMMMMM
45,8 6,Ship destroyed,7 7,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXSS~~~MSM~MM~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMM~MM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
46,1 7,Hit,7 6,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXSS~~~MSMMMM~~~~~~~~~~S~~~~S~~S~S,M~~MXXM~~M~M~MMMMXMM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
47,0 7,Hit,6 8,Hit,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXXS~~~MSMMMM~~~~~~~~~~S~~~~S~~S~S,M~~MXXMX~M~M~MMMMXMM~~M~~MM~MX~~~M~~M~MXMMM~MM~MMXMXM~~M~~MXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
48,2 7,Ship destroyed,7 9,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXXS~~~MSMMMMM~~~~~~~~~S~~~~S~~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~~M~~MXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
49,5 7,Miss,6 9,Ship destroyed,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~M~~~MXXX~~~MSMMMMM~~~~~~~~~S~~~~S~~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~~M~MMXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
50,6 5,Miss,7 4,Ship destroyed,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~~MXMMMMM~~~MMM~~~S~~~~S~~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~~M~MMXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
51,5 4,Miss,7 2,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~~S~~~~S~~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
52,6 7,Miss,9 4,Ship destroyed,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~~S~~~MXM~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMM~MXM~MXMMM~MXM~MXMXMMMXMMMMMMM
53,7 4,Miss,8 8,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~MS~~~MXM~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMM~MXMMMXMMM~MXM~MXMXMMMXMMMMMMM
54,8 0,Miss,4 2,Miss,XM~MMMMMS~XM~MXXXM~~XM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~MS~~~MXM~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMM~MXMMMXMMMMMXM~MXMXMMMXMMMMMMM
55,7 0,Miss,1 9,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~MS~~~MXM~S~S,M~~MXXMXMM~M~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
56,1 0,Miss,3 3,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMM~~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
57,2 0,Miss,3 5,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMM~~~MMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMX~~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
58,3 0,Miss,8 0,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~~MMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMXM~~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
59,3 1,Miss,0 4,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~~MMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMXMM~M~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
60,3 2,Miss,8 2,Miss,XM~MMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMXMMMM~~MMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
61,3 5,Miss,0 2,Miss,XMMMMMMMS~XM~MXXXM~MXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMXMMMM~MMMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
62,3 4,Hit,1 8,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~M~~MMXMXMMMMXMMMMXMMM~MM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
63,2 4,Ship destroyed,5 2,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMM~MMXMXM~MM~MMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
64,5 6,Miss,4 6,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MS~~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMM~MMXMXM~MMMMMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
65,4 6,Miss,9 0,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMM~~MSM~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXM~MMMMMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
66,5 3,Miss,8 6,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMM~MSM~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMM~MMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
67,6 4,Miss,8 7,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMMMMSM~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMMMMMMMMMMXMMMXMMMMMXM~MXMXMMMXMMMMMMM
68,8 4,Miss,6 4,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMMMMSM~~MXM~S~S,M~~MXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMMMMMMMMMMXMMMXMMMMMXMMMXMXMMMXMMMMMMM
69,0 2,Miss,5 6,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMMMMSM~~MXM~S~S,M~MMXXMXMMMM~MMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMMMMMMMMMMXMMMXMMMMMXMMMXMXMMMXMMMMMMM
70,0 1,Ship destroyed,9 9,Hit,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMMMMSM~~MXM~S~X,MXMMXXMXMMMMMMMMMXMMM~MMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMMMMMMMMMMXMMMXMMMMMXMMMXMXMMMXMMMMMMM
71,2 1,Ship destroyed,9 8,Miss,XMMMMMMMS~XM~MXXXMMMXM~MMMMMMMXMMMMMMMMMMMMXXMMXXM~~MMMMMMMM~~MMMMMXXX~~MMXMMMMMM~MMMMMMMSM~~MXM~SMX,MXMMXXMXMMMMMMMMMXMMMXMMXMMXMXMMMMXMMMMXMMMMMMMMMXMXMMMMMMMXMMMMMMMMMMMMXMMMXMMMMMXMMMXMXMMMXMMMMMMM
